CustomerID,Recency,Frequency,Monetary Value,R,F,M,RFM_Segment,RFM_Score,RFM_Categories
12346.0,325,2,0.0,1,2,1,121,4,Low
12347.0,1,7,4309.999999999997,4,4,4,444,12,Top
12348.0,74,4,1437.24,2,3,3,233,8,Medium
12349.0,18,1,1457.55,3,1,3,313,7,Medium
12350.0,309,1,294.40000000000003,1,1,2,112,4,Low
12352.0,35,11,1265.41,3,4,3,343,10,Top
12353.0,203,1,89.0,1,1,1,111,3,Low
12354.0,231,1,1079.4,1,1,3,113,5,Low
12355.0,213,1,459.4,1,1,2,112,4,Low
12356.0,22,3,2487.430000000001,3,2,4,324,9,Medium
12357.0,32,1,6207.669999999996,3,1,4,314,8,Medium
12358.0,1,2,928.06,4,2,3,423,9,Medium
12359.0,7,6,6182.980000000006,4,4,4,444,12,Top
12360.0,51,3,2302.0600000000004,2,2,4,224,8,Medium
12361.0,286,1,174.89999999999998,1,1,1,111,3,Low
12362.0,2,13,4665.580000000002,4,4,4,444,12,Top
12363.0,109,2,552.0,2,2,2,222,6,Low
12364.0,7,4,1208.1000000000001,4,3,3,433,10,Top
12365.0,290,3,320.69,1,2,2,122,5,Low
12367.0,3,1,150.9,4,1,1,411,6,Low
12370.0,50,4,3421.939999999998,2,3,4,234,9,Medium
12371.0,59,1,1527.9600000000003,2,1,3,213,6,Low
12372.0,71,3,1196.04,2,2,3,223,7,Medium
12373.0,310,1,324.6,1,1,2,112,4,Low
12374.0,24,1,622.93,3,1,2,312,6,Low
12375.0,2,3,375.42000000000013,4,2,2,422,8,Medium
12377.0,314,2,1548.1199999999997,1,2,3,123,6,Low
12378.0,129,1,4008.6200000000013,2,1,4,214,7,Medium
12379.0,81,3,775.2899999999996,2,2,3,223,7,Medium
12380.0,21,5,2423.56,3,3,4,334,10,Top
12381.0,4,4,1433.4600000000005,4,3,3,433,10,Top
12383.0,184,6,1617.3099999999995,1,4,4,144,9,Medium
12384.0,28,3,406.16,3,2,2,322,7,Medium
12386.0,337,2,401.90000000000003,1,2,2,122,5,Low
12388.0,15,6,2780.6600000000003,4,4,4,444,12,Top
12390.0,79,1,504.84,2,1,2,212,5,Low
12391.0,21,1,439.65999999999997,3,1,2,312,6,Low
12393.0,71,4,1582.6000000000004,2,3,3,233,8,Medium
12394.0,63,2,1080.48,2,2,3,223,7,Medium
12395.0,15,15,2662.2799999999984,4,4,4,444,12,Top
12397.0,35,2,2214.9,3,2,4,324,9,Medium
12398.0,45,1,1435.6599999999999,3,1,3,313,7,Medium
12399.0,118,4,1033.65,2,3,3,233,8,Medium
12401.0,302,1,69.3,1,1,1,111,3,Low
12402.0,322,1,195.6,1,1,1,111,3,Low
12403.0,49,1,391.7,3,1,2,312,6,Low
12405.0,148,1,1390.3900000000006,1,1,3,113,5,Low
12406.0,21,3,3280.7500000000014,3,2,4,324,9,Medium
12407.0,49,5,1507.12,3,3,3,333,9,Medium
12408.0,32,8,2587.57,3,4,4,344,11,Top
12409.0,78,7,11056.930000000004,2,4,4,244,10,Top
12410.0,300,3,521.0799999999999,1,2,2,122,5,Low
12412.0,74,3,1142.8799999999999,2,2,3,223,7,Medium
12413.0,66,4,676.15,2,3,3,233,8,Medium
12414.0,216,3,442.41,1,2,2,122,5,Low
12415.0,23,24,123638.17999999988,3,4,4,344,11,Top
12417.0,2,12,3155.8000000000006,4,4,4,444,12,Top
12418.0,112,1,668.5799999999997,2,1,3,213,6,Low
12420.0,63,1,600.3900000000001,2,1,2,212,5,Low
12421.0,15,5,638.2700000000002,4,3,3,433,10,Top
12422.0,95,3,683.5599999999998,2,2,3,223,7,Medium
12423.0,0,9,1624.1100000000001,4,4,4,444,12,Top
12424.0,162,2,1760.9599999999998,1,2,4,124,7,Medium
12425.0,77,1,777.1999999999999,2,1,3,213,6,Low
12426.0,194,1,510.7299999999999,1,1,2,112,4,Low
12427.0,11,5,582.37,4,3,2,432,9,Medium
12428.0,25,12,6917.200000000004,3,4,4,344,11,Top
12429.0,8,4,3388.400000000001,4,3,4,434,11,Top
12430.0,42,1,216.4,3,1,1,311,5,Low
12431.0,35,18,6243.889999999999,3,4,4,344,11,Top
12432.0,42,4,4359.3200000000015,3,3,4,334,10,Top
12433.0,0,7,13375.869999999992,4,4,4,444,12,Top
12434.0,84,4,765.1899999999999,2,3,3,233,8,Medium
12435.0,79,2,7829.889999999998,2,2,4,224,8,Medium
12436.0,99,1,429.01000000000005,2,1,2,212,5,Low
12437.0,1,19,4392.659999999998,4,4,4,444,12,Top
12438.0,13,2,2466.8500000000004,4,2,4,424,10,Top
12441.0,366,1,155.55,1,1,1,111,3,Low
12442.0,2,1,144.06,4,1,1,411,6,Low
12444.0,20,5,4085.46,3,3,4,334,10,Top
12445.0,21,1,77.4,3,1,1,311,5,Low
12446.0,57,1,1002.3099999999998,2,1,3,213,6,Low
12447.0,242,1,431.49,1,1,2,112,4,Low
12448.0,43,1,365.4500000000001,3,1,2,312,6,Low
12449.0,21,4,3596.290000000001,3,3,4,334,10,Top
12450.0,155,2,197.88,1,2,1,121,4,Low
12451.0,10,6,8893.519999999999,4,4,4,444,12,Top
12452.0,16,1,348.57000000000005,4,1,2,412,7,Medium
12453.0,133,1,707.0899999999999,2,1,3,213,6,Low
12454.0,52,2,-5.684341886080802e-14,2,2,1,221,5,Low
12455.0,72,5,2339.859999999997,2,3,4,234,9,Medium
12456.0,43,4,2553.89,3,3,4,334,10,Top
12457.0,57,11,1597.7799999999997,2,4,4,244,10,Top
12458.0,70,2,787.4000000000001,2,2,3,223,7,Medium
12461.0,154,1,626.8800000000001,1,1,2,112,4,Low
12462.0,1,4,872.0099999999998,4,3,3,433,10,Top
12463.0,45,6,1165.6299999999997,3,4,3,343,10,Top
12464.0,9,8,957.0499999999998,4,4,3,443,11,Top
12465.0,7,3,673.89,4,2,3,423,9,Medium
12468.0,142,3,652.04,2,2,3,223,7,Medium
12471.0,1,46,16353.519999999968,4,4,4,444,12,Top
12472.0,30,13,5725.480000000004,3,4,4,344,11,Top
12473.0,28,8,2585.729999999999,3,4,4,344,11,Top
12474.0,16,30,6434.770000000002,4,4,4,444,12,Top
12475.0,53,1,669.38,2,1,3,213,6,Low
12476.0,0,20,5628.580000000007,4,4,4,444,12,Top
12477.0,22,9,13117.009999999993,3,4,4,344,11,Top
12478.0,3,1,545.99,4,1,2,412,7,Medium
12479.0,3,3,423.3,4,2,2,422,8,Medium
12480.0,27,4,2885.6300000000006,3,3,4,334,10,Top
12481.0,22,11,4998.360000000003,3,4,4,344,11,Top
12483.0,16,11,1873.1300000000006,4,4,4,444,12,Top
12484.0,34,6,3892.869999999997,3,4,4,344,11,Top
12488.0,9,3,1244.6600000000003,4,2,3,423,9,Medium
12489.0,335,1,298.93,1,1,2,112,4,Low
12490.0,4,10,4859.930000000001,4,4,4,444,12,Top
12491.0,38,1,424.4000000000001,3,1,2,312,6,Low
12492.0,62,2,227.20999999999998,2,2,1,221,5,Low
12493.0,165,3,362.79,1,2,2,122,5,Low
12494.0,9,13,995.3500000000006,4,4,3,443,11,Top
12497.0,81,1,953.1,2,1,3,213,6,Low
12498.0,20,3,349.7,3,2,2,322,7,Medium
12500.0,22,13,4026.2699999999995,3,4,4,344,11,Top
12501.0,314,2,1945.6799999999992,1,2,4,124,7,Medium
12502.0,95,5,2995.870000000001,2,3,4,234,9,Medium
12503.0,337,1,-1126.0,1,1,1,111,3,Low
12504.0,17,4,60.00000000000003,3,3,1,331,7,Medium
12505.0,300,1,-4.5,1,1,1,111,3,Low
12506.0,232,1,73.50000000000003,1,1,1,111,3,Low
12507.0,133,4,1006.0599999999998,2,3,3,233,8,Medium
12508.0,25,2,397.88000000000005,3,2,2,322,7,Medium
12509.0,283,1,158.5,1,1,1,111,3,Low
12510.0,142,2,814.57,2,2,3,223,7,Medium
12512.0,65,2,132.18000000000006,2,2,1,221,5,Low
12513.0,84,2,532.7900000000001,2,2,2,222,6,Low
12514.0,266,1,1017.6800000000002,1,1,3,113,5,Low
12515.0,352,1,278.7,1,1,1,111,3,Low
12516.0,77,2,1186.06,2,2,3,223,7,Medium
12517.0,27,5,2263.650000000001,3,3,4,334,10,Top
12518.0,0,5,1840.8899999999996,4,3,4,434,11,Top
12519.0,63,1,276.84,2,1,1,211,4,Low
12520.0,78,6,2294.509999999999,2,4,4,244,10,Top
12521.0,142,1,545.6800000000001,2,1,2,212,5,Low
12522.0,38,2,156.72000000000003,3,2,1,321,6,Low
12523.0,1,13,1655.5700000000004,4,4,4,444,12,Top
12524.0,8,8,3945.72,4,4,4,444,12,Top
12526.0,0,3,1172.6600000000003,4,2,3,423,9,Medium
12527.0,81,3,330.71000000000004,2,2,2,222,6,Low
12528.0,8,8,1634.2800000000002,4,4,4,444,12,Top
12530.0,59,5,1461.6299999999997,2,3,3,233,8,Medium
12531.0,14,1,125.22,4,1,1,411,6,Low
12532.0,29,1,313.83,3,1,2,312,6,Low
12534.0,130,1,981.1800000000001,2,1,3,213,6,Low
12535.0,91,2,716.3500000000001,2,2,3,223,7,Medium
12536.0,7,5,4106.820000000003,4,3,4,434,11,Top
12538.0,28,1,363.95,3,1,2,312,6,Low
12539.0,21,5,3852.4999999999986,3,3,4,334,10,Top
12540.0,19,19,11489.039999999994,3,4,4,344,11,Top
12541.0,29,3,841.1800000000002,3,2,3,323,8,Medium
12544.0,29,2,299.7,3,2,2,322,7,Medium
12545.0,74,2,832.3899999999999,2,2,3,223,7,Medium
12546.0,46,3,1001.5000000000002,3,2,3,323,8,Medium
12547.0,197,2,151.8,1,2,1,121,4,Low
12548.0,165,1,67.19999999999999,1,1,1,111,3,Low
12550.0,78,1,824.8299999999994,2,1,3,213,6,Low
12551.0,357,1,168.0,1,1,1,111,3,Low
12552.0,39,1,317.81999999999994,3,1,2,312,6,Low
12553.0,7,14,3238.2499999999995,4,4,4,444,12,Top
12556.0,49,2,599.5599999999997,3,2,2,322,7,Medium
12557.0,15,5,11990.96,4,3,4,434,11,Top
12558.0,1,2,2.6645352591003757e-14,4,2,1,421,7,Medium
12559.0,310,3,500.21,1,2,2,122,5,Low
12560.0,4,3,1885.39,4,2,4,424,10,Top
12561.0,302,1,238.85,1,1,1,111,3,Low
12562.0,7,7,3385.740000000002,4,4,4,444,12,Top
12564.0,260,1,402.9000000000001,1,1,2,112,4,Low
12565.0,281,2,131.17,1,2,1,121,4,Low
12566.0,72,2,292.70000000000005,2,2,2,222,6,Low
12567.0,22,11,8322.939999999999,3,4,4,344,11,Top
12569.0,1,33,3128.99,4,4,4,444,12,Top
12571.0,39,2,519.6099999999999,3,2,2,322,7,Medium
12572.0,8,3,896.7200000000003,4,2,3,423,9,Medium
12573.0,226,1,160.54,1,1,1,111,3,Low
12574.0,315,1,182.45000000000002,1,1,1,111,3,Low
12576.0,35,6,1306.9799999999998,3,4,3,343,10,Top
12577.0,34,4,564.2000000000003,3,3,2,332,8,Medium
12578.0,20,4,2361.36,3,3,4,334,10,Top
12579.0,72,2,374.71999999999997,2,2,2,222,6,Low
12580.0,246,1,379.7,1,1,2,112,4,Low
12581.0,39,1,179.70999999999998,3,1,1,311,5,Low
12582.0,238,2,351.3599999999999,1,2,2,122,5,Low
12583.0,2,17,6629.339999999994,4,4,4,444,12,Top
12584.0,3,18,1809.9500000000005,4,4,4,444,12,Top
12585.0,233,4,1766.809999999999,1,3,4,134,8,Medium
12586.0,16,2,179.94,4,2,1,421,7,Medium
12587.0,7,1,104.0,4,1,1,411,6,Low
12588.0,38,1,174.9,3,1,1,311,5,Low
12589.0,28,2,574.6800000000001,3,2,2,322,7,Medium
